drug	genes	question	answer	incorrect_recommendations	concurring_recommendation	llm_answer	bert_score_precision_llm_vs_ref	bert_score_recall_llm_vs_ref	bert_score_f1_llm_vs_ref	bert_score_precision_llm_vs_concurring	bert_score_recall_llm_vs_concurring	bert_score_f1_llm_vs_concurring	oai_embedding_llm_vs_ref	oai_embedding_llm_vs_concurring	oai_embedding_llm_vs_counterfactual	negation_mpnet_llm_vs_ref	negation_mpnet_llm_vs_concurring	negation_mpnet_llm_vs_counterfactual	base_mpnet_llm_vs_ref	base_mpnet_llm_vs_concurring	base_mpnet_llm_vs_counterfactual	roberta_llm_vs_ref	roberta_llm_vs_concurring	roberta_llm_vs_counterfactual	gte_llm_vs_ref	gte_llm_vs_concurring	gte_llm_vs_counterfactual	gpt4_llm_vs_ref
clomipramine	CYP2D6;CYP2C19	What would be the clinical guidance for someone who is Intermediate Metabolizer and activity score = 1.0 for CYP2D6 and Rapid Metabolizer for CYP2C19 with regards to taking clomipramine? Give a 2-3 sentence summary.	"Consider alternative drug not metabolized by CYP2C19; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."	"['Proceed taking clomipramine as normal. There is no recommendation.', 'Take clomipramine with a reduced dose.', 'Take clomipramine with an increased dose.']"	Avoid clomipramine. Take an alternate therapy.	"For someone who is an Intermediate Metabolizer with an activity score of 1.0 for CYP2D6 and a Rapid Metabolizer for CYP2C19, caution is advised when prescribing clomipramine. Since clomipramine is metabolized by CYP2D6, reduced enzyme activity may increase drug levels, potentially leading to heightened side effects. It may be necessary to start at a lower dose and adjust based on clinical response and tolerability, monitoring for adverse effects closely."	0.18096377	0.30055758	0.24041757	tensor(-0.0454)	tensor(0.4986)	tensor(0.1751)	0.7820601023665060	0.6615423517103870	0.7025733812371760	0.70892775	0.538256	0.6362271	0.7968214	0.643548	0.6699458	0.78484195	0.5867655	0.6200737	0.7521696	0.62107086	0.67646736	0
clomipramine	CYP2D6;CYP2C19	What would be the clinical guidance for someone who is Intermediate Metabolizer and activity score = 0.5 for CYP2D6 and Poor Metabolizer for CYP2C19 with regards to taking clomipramine? Give a 2-3 sentence summary.	"Avoid clomipramine use; If clomipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."	"['Proceed taking clomipramine as normal. There is no recommendation.', 'Take clomipramine with a reduced dose.', 'Take clomipramine with an increased dose.']"	Avoid clomipramine. Take an alternate therapy.	"For a patient identified as an Intermediate Metabolizer (activity score = 0.5) for CYP2D6 and a Poor Metabolizer for CYP2C19, the clinical guidance for clomipramine, a tricyclic antidepressant metabolized by both enzymes, would involve careful consideration of dosing. The patient may experience higher plasma concentrations of clomipramine and an increased risk of adverse effects. Therefore, a reduced starting dose with close monitoring for response and side effects would be advisable, and alternative treatments could also be considered in consultation with a healthcare professional."	-0.013650887	0.24450211	0.10482989	tensor(-0.0724)	tensor(0.4593)	tensor(0.1431)	0.7849621816505030	0.6919887193123480	0.7480804256560310	0.6053116	0.54008263	0.7117508	0.6220383	0.60154384	0.7710818	0.5508492	0.6514483	0.64531374	0.58438176	0.6529139	0.6043611	0
clomipramine	CYP2D6;CYP2C19	What would be the clinical guidance for someone who is No Result and activity score = No Result for CYP2D6 and Rapid Metabolizer for CYP2C19 with regards to taking clomipramine? Give a 2-3 sentence summary.	"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."	"['Proceed taking clomipramine as normal. There is no recommendation.', 'Take clomipramine with a reduced dose.', 'Take clomipramine with an increased dose.']"	Avoid clomipramine. Take an alternate therapy.	"For a patient with no result for CYP2D6 and an activity score indicating no result, alongside being identified as a rapid metabolizer for CYP2C19, specific clinical guidance is limited due to missing CYP2D6 data. Typically, CYP2D6 is a crucial enzyme for metabolizing clomipramine, so obtaining this information would be essential. Given the patient's rapid metabolizer status for CYP2C19, increased metabolism could affect the drug's efficacy and side effect profile, suggesting the need for close monitoring and potentially adjusting the dosing under the supervision of a healthcare professional."	0.21596332	0.2257677	0.22314273	tensor(-0.0649)	tensor(0.4163)	tensor(0.1110)	0.5920006918492740	0.6218808747375690	0.5018103514888930	0.6465582	0.5762611	0.56276697	0.64203036	0.65396905	0.49649364	0.57026947	0.6520485	0.46035483	0.5387346	0.606826	0.50482476	0
clomipramine	CYP2D6;CYP2C19	What would be the clinical guidance for someone who is Poor Metabolizer and activity score = 0.0 for CYP2D6 and Normal Metabolizer for CYP2C19 with regards to taking clomipramine? Give a 2-3 sentence summary.	"Avoid clomipramine use. If a clomipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments."	"['Proceed taking clomipramine as normal. There is no recommendation.', 'Take clomipramine with a reduced dose.', 'Take clomipramine with an increased dose.']"	Avoid clomipramine. Take an alternate therapy.	"For a patient who is a Poor Metabolizer (activity score = 0.0) for CYP2D6 and a Normal Metabolizer for CYP2C19, the clinical guidance would suggest starting clomipramine at a lower dose and monitoring for adverse effects and efficacy. Poor Metabolizers of CYP2D6 can exhibit higher plasma levels of clomipramine, increasing the risk of side effects, and a reduced dosage may help mitigate these risks."	0.02917641	0.27200174	0.14172737	tensor(-0.0276)	tensor(0.5296)	tensor(0.1977)	0.7415790960794090	0.607406956079721	0.8124264535817020	0.69355834	0.53843296	0.6849572	0.70521677	0.63030314	0.78371185	0.60039574	0.6167114	0.68522066	0.6069591	0.6428766	0.6287826	1
clopidogrel	CYP2C19	What would be the clinical guidance for someone who is Ultrarapid Metabolizer for CYP2C19 with regards to taking clopidogrel? Give a 2-3 sentence summary.	No recommendation	"['Avoid clopidogrel. Take an alternate therapy.', 'Take clopidogrel with a reduced dose.', 'Take clopidogrel with an increased dose.']"	Proceed taking clopidogrel as normal. There is no recommendation.	"For patients identified as CYP2C19 ultrarapid metabolizers, the clinical guidance generally recommends standard dosing of clopidogrel. However, these patients may experience enhanced platelet inhibition and a potentially increased risk of bleeding. Monitoring for any signs of excessive bleeding is advised, and alternative antiplatelet therapy should be considered if clinically warranted."	-0.19781454	0.017756173	-0.09782103	tensor(-0.0589)	tensor(0.3045)	tensor(0.0994)	0.23586672468699700	0.62915493362962	0.24547226682608600	0.16631521	0.57800007	0.2045186	0.16125277	0.62806374	0.12299797	0.025016297	0.6100198	0.102987535	0.28913873	0.6403616	0.48022106	0
clopidogrel	CYP2C19	What would be the clinical guidance for someone who is Ultrarapid Metabolizer for CYP2C19 with regards to taking clopidogrel? Give a 2-3 sentence summary.	No recommendation	"['Avoid clopidogrel. Take an alternate therapy.', 'Take clopidogrel with a reduced dose.', 'Take clopidogrel with an increased dose.']"	Proceed taking clopidogrel as normal. There is no recommendation.	"For patients identified as CYP2C19 ultrarapid metabolizers, the clinical guidance generally recommends standard dosing of clopidogrel. However, these patients may experience enhanced platelet inhibition and a potentially increased risk of bleeding. Monitoring for any signs of excessive bleeding is advised, and alternative antiplatelet therapy should be considered if clinically warranted."	-0.19781454	0.017756173	-0.09782103	tensor(-0.0589)	tensor(0.3045)	tensor(0.0994)	0.23586672468699700	0.62915493362962	0.24547226682608600	0.16631521	0.57800007	0.2045186	0.16125277	0.62806374	0.12299797	0.025016297	0.6100198	0.102987535	0.28913873	0.6403616	0.48022106	0
clopidogrel	CYP2C19	What would be the clinical guidance for someone who is Ultrarapid Metabolizer for CYP2C19 with regards to taking clopidogrel? Give a 2-3 sentence summary.	"If considering clopidogrel, use at standard dose (75 mg/day)"	"['Avoid clopidogrel. Take an alternate therapy.', 'Take clopidogrel with a reduced dose.', 'Take clopidogrel with an increased dose.']"	Proceed taking clopidogrel as normal. There is no recommendation.	"For individuals identified as Cytochrome P450 2C19 (CYP2C19) ultrarapid metabolizers, clinical guidance typically recommends standard dosing of clopidogrel. Ultrarapid metabolizers generally exhibit enhanced conversion of clopidogrel to its active metabolite, potentially leading to an increased risk of bleeding. Therefore, careful monitoring is advised to balance the drug's efficacy with the risk of adverse effects."	-0.072663136	0.09741881	0.009042695	tensor(-0.0589)	tensor(0.3045)	tensor(0.0994)	0.6936525309274360	0.62915493362962	0.6984734717610790	0.66317075	0.57800007	0.6804736	0.6116601	0.62806374	0.7268292	0.6332794	0.6100198	0.776168	0.64507836	0.6403616	0.62266123	0
clopidogrel	CYP2C19	What would be the clinical guidance for someone who is Normal Metabolizer for CYP2C19 with regards to taking clopidogrel? Give a 2-3 sentence summary.	"If considering clopidogrel, use at standard dose (75 mg/day)"	"['Avoid clopidogrel. Take an alternate therapy.', 'Take clopidogrel with a reduced dose.', 'Take clopidogrel with an increased dose.']"	Proceed taking clopidogrel as normal. There is no recommendation.	"For an individual identified as a normal metabolizer for CYP2C19, standard clinical guidance would suggest that they can take clopidogrel at the standard dosage without any adjustments. This is because their CYP2C19 enzyme activity allows for effective conversion of clopidogrel into its active metabolite, which is necessary for optimal antiplatelet effect."	-0.08594239	0.14768451	0.022133928	tensor(-0.0812)	tensor(0.3628)	tensor(0.1051)	0.665125389298464	0.6419410353755920	0.6984734717610790	0.65184337	0.57128	0.6804736	0.6880256	0.6800254	0.7268292	0.7132954	0.64664096	0.776168	0.68269306	0.67045873	0.62266123	1
codeine	CYP2D6	What would be the clinical guidance for someone who is Ultrarapid Metabolizer and activity score = ≥3.75 for CYP2D6 with regards to taking codeine? Give a 2-3 sentence summary.	"Avoid codeine use because of potential for serious toxicity. If opioid use is warranted, consider a non-tramadol opioid."	"['Proceed taking codeine as normal. There is no recommendation.', 'Take codeine with a reduced dose.', 'Take codeine with an increased dose.']"	Avoid codeine. Take an alternate therapy.	"For someone who is an Ultrarapid Metabolizer with a CYP2D6 activity score of ≥3.75, it is generally advised to avoid using codeine. This is because they convert codeine to its active metabolite, morphine, more rapidly and extensively than normal, which can lead to significantly increased risks of toxicity, including severe respiratory depression. An alternative analgesic not metabolized by CYP2D6 is recommended."	0.015501881	0.26213405	0.12952454	tensor(-0.1261)	tensor(0.3124)	tensor(0.0570)	0.6175730358428080	0.5838828105838830	0.6066041809764520	0.7315816	0.54204106	0.71214277	0.7280226	0.6228916	0.73497224	0.6831286	0.5970459	0.706485	0.68720925	0.65058464	0.6865053	1
codeine	CYP2D6	What would be the clinical guidance for someone who is Poor Metabolizer and activity score = 0.0 for CYP2D6 with regards to taking codeine? Give a 2-3 sentence summary.	"Avoid codeine use because of possibility of diminished analgesia. If opioid use is warranted, consider a non-tramadol opioid."	"['Proceed taking codeine as normal. There is no recommendation.', 'Take codeine with a reduced dose.', 'Take codeine with an increased dose.']"	Avoid codeine. Take an alternate therapy.	"For individuals who are identified as Poor Metabolizers with an activity score of 0.0 for the CYP2D6 enzyme, codeine is not recommended. These individuals lack functional CYP2D6 enzyme activity, which is necessary for converting codeine into its active form, morphine, thus resulting in insufficient pain relief. Alternative pain management strategies that do not rely on CYP2D6 metabolism should be considered."	-0.0020567449	0.17416093	0.082443155	tensor(-0.1184)	tensor(0.2810)	tensor(0.0506)	0.5716244892970500	0.557581105999568	0.6699545203053670	0.6720615	0.52918226	0.6902888	0.679039	0.5546107	0.71534896	0.6680064	0.5864855	0.69900346	0.6300134	0.624655	0.6586961	1
codeine	CYP2D6	What would be the clinical guidance for someone who is Normal Metabolizer and activity score = 1.25 for CYP2D6 with regards to taking codeine? Give a 2-3 sentence summary.	Use codeine label recommended age- or weight-specific dosing.	"['Avoid codeine. Take an alternate therapy.', 'Take codeine with a reduced dose.', 'Take codeine with an increased dose.']"	Proceed taking codeine as normal. There is no recommendation.	"For someone who is a normal metabolizer with an activity score of 1.25 for CYP2D6, standard dosing of codeine is typically appropriate. Codeine is metabolized by CYP2D6 to its active form, morphine, and normal metabolizers have a predictable and effective response with minimized risk for adverse effects or therapeutic failure. However, as there can be variations even within normal metabolizers, clinical monitoring is advised to ensure appropriate therapeutic outcomes."	-0.10557463	0.08238504	-0.0164016	tensor(-0.1128)	tensor(0.3241)	tensor(0.0678)	0.5343400108861130	0.5575604518166200	0.6189481994666260	0.6112968	0.47798422	0.5129045	0.61198854	0.6234113	0.61016905	0.6032652	0.557412	0.63897043	0.5391508	0.6058459	0.68377954	1
codeine	CYP2D6	What would be the clinical guidance for someone who is Ultrarapid Metabolizer and activity score = ≥5.0 for CYP2D6 with regards to taking codeine? Give a 2-3 sentence summary.	"Avoid codeine use because of potential for serious toxicity. If opioid use is warranted, consider a non-tramadol opioid."	"['Proceed taking codeine as normal. There is no recommendation.', 'Take codeine with a reduced dose.', 'Take codeine with an increased dose.']"	Avoid codeine. Take an alternate therapy.	"For an individual who is an ultrarapid metabolizer with an activity score of ≥5.0 for the CYP2D6 enzyme, clinical guidance typically recommends avoiding the use of codeine. This is due to the increased risk of rapid and extensive conversion of codeine to morphine, which can lead to potentially toxic levels of morphine and an increased risk of serious side effects, including respiratory depression. Alternative analgesics that do not rely on CYP2D6 metabolism should be considered."	0.066084206	0.27329618	0.16398007	tensor(-0.0920)	tensor(0.3006)	tensor(0.0761)	0.6407997345037550	0.5717108146357300	0.6066041809764520	0.7205774	0.53606737	0.71214277	0.6871349	0.5713379	0.73497224	0.7085176	0.5872474	0.706485	0.6857859	0.6309026	0.6865053	1
dapsone	G6PD	What would be the clinical guidance for someone who is Deficient with CNSHA for G6PD with regards to taking dapsone? Give a 2-3 sentence summary.	Avoid use	"['Proceed taking dapsone as normal. There is no recommendation.', 'Take dapsone with a reduced dose.', 'Take dapsone with an increased dose.']"	Avoid dapsone. Take an alternate therapy.	Individuals who are deficient in glucose-6-phosphate dehydrogenase (G6PD) and have chronic non-spherocytic hemolytic anemia (CNSHA) should generally avoid taking dapsone due to the high risk of hemolysis. Alternative medications that do not pose a risk to G6PD-deficient patients are recommended. Consultation with a healthcare provider and individualized risk assessment are essential for safe management.	-0.28369355	0.076084174	-0.13159068	tensor(-0.0996)	tensor(0.3111)	tensor(0.0684)	0.22749678588540200	0.615474740102548	0.29397114268302800	0.35653356	0.6157266	0.35577685	0.18849066	0.6229586	0.26590234	0.21268053	0.49650028	0.26635018	0.4569584	0.65331393	0.51896954	1
dapsone	G6PD	What would be the clinical guidance for someone who is Indeterminate for G6PD with regards to taking dapsone? Give a 2-3 sentence summary.	"To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype."	"['Avoid dapsone. Take an alternate therapy.', 'Take dapsone with a reduced dose.', 'Take dapsone with an increased dose.']"	Proceed taking dapsone as normal. There is no recommendation.	"For patients with indeterminate G6PD status, caution is advised when prescribing dapsone due to the risk of hemolytic anemia. It is recommended to conduct a confirmatory G6PD enzyme activity test prior to initiation of dapsone therapy or to consider alternative treatments if testing is not feasible."	0.19528878	0.3177675	0.2560433	tensor(0.0773)	tensor(0.4638)	tensor(0.2463)	0.652546724502301	0.6107748804689630	0.3441258186006140	0.646152	0.58520406	0.3123187	0.6844363	0.6174331	0.31147724	0.71189135	0.51016915	0.20376977	0.6048379	0.5063387	0.43416855	0
dapsone	G6PD	What would be the clinical guidance for someone who is Normal for G6PD with regards to taking dapsone? Give a 2-3 sentence summary.	No reason to avoid based on G6PD status	"['Avoid dapsone. Take an alternate therapy.', 'Take dapsone with a reduced dose.', 'Take dapsone with an increased dose.']"	Proceed taking dapsone as normal. There is no recommendation.	"Individuals who have a normal glucose-6-phosphate dehydrogenase (G6PD) enzyme level typically do not face an increased risk of hemolysis when taking dapsone. Therefore, they can be prescribed this medication without the need for special precautions related to G6PD deficiency. However, routine clinical monitoring for other potential adverse effects of dapsone is still recommended."	-0.07656902	0.17676307	0.039486244	tensor(-0.0578)	tensor(0.3951)	tensor(0.1321)	0.6196078567731840	0.6405432063523960	0.36059165435853900	0.53940666	0.6161554	0.27750307	0.4552146	0.6741821	0.21654668	0.39102095	0.5069907	0.14750078	0.52101296	0.5535624	0.37921315	1
dapsone	G6PD	What would be the clinical guidance for someone who is Deficient for G6PD with regards to taking dapsone? Give a 2-3 sentence summary.	Avoid use	"['Proceed taking dapsone as normal. There is no recommendation.', 'Take dapsone with a reduced dose.', 'Take dapsone with an increased dose.']"	Avoid dapsone. Take an alternate therapy.	"Individuals who are deficient in glucose-6-phosphate dehydrogenase (G6PD) are at increased risk for hemolytic anemia when taking dapsone. Clinical guidance typically recommends avoiding the use of dapsone in patients with G6PD deficiency due to this risk, or if necessary, closely monitoring hemoglobin and bilirubin levels if a safer alternative is not available."	-0.25314665	0.1506987	-0.08534895	tensor(-0.0193)	tensor(0.3367)	tensor(0.1170)	0.2345628467158510	0.5998807182733050	0.29397114268302800	0.27936134	0.5463939	0.35577685	0.12575158	0.5979307	0.26590234	0.15677008	0.4683729	0.26635018	0.44151142	0.58221656	0.51896954	1
desflurane	RYR1;CACNA1S	What would be the clinical guidance for someone who is Uncertain Susceptibility for RYR1 and No Result for CACNA1S with regards to taking desflurane? Give a 2-3 sentence summary.	"No CACNA1S genotype is available. Based on RYR1 status, clinical findings, family history, further genetic testing and other laboratory data should guide use of halogenated volatile anesthetics or depolarizing muscle relaxants."	"['Avoid desflurane. Take an alternate therapy.', 'Take desflurane with a reduced dose.', 'Take desflurane with an increased dose.']"	Proceed taking desflurane as normal. There is no recommendation.	"For a patient with uncertain susceptibility for the RYR1 gene and no result for the CACNA1S gene in relation to taking desflurane, the clinical guidance would recommend exercising caution. Due to the potential risk of malignant hyperthermia, an alternative anesthetic agent with a lower associated risk may be preferable, and if desflurane is used, it should be under strict monitoring with dantrolene readily available to manage any adverse reactions."	0.09942535	0.2067548	0.15336609	tensor(-0.0373)	tensor(0.3796)	tensor(0.1407)	0.6644380723271560	0.6418327301219950	0.390436768457001	0.74319935	0.5643356	0.38977265	0.68973535	0.5871591	0.30585182	0.5822109	0.5448396	0.29088077	0.72798645	0.56865436	0.37354237	0
desflurane	RYR1;CACNA1S	What would be the clinical guidance for someone who is Malignant Hyperthermia Susceptibility for RYR1 and No Result for CACNA1S with regards to taking desflurane? Give a 2-3 sentence summary.	"Based on RYR1 status, halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."	"['Proceed taking desflurane as normal. There is no recommendation.', 'Take desflurane with a reduced dose.', 'Take desflurane with an increased dose.']"	Avoid desflurane. Take an alternate therapy.	"For an individual with Malignant Hyperthermia Susceptibility (MHS) due to a variant in the RYR1 gene, the use of desflurane, a volatile anesthetic, is contraindicated. Desflurane can trigger malignant hyperthermia in susceptible individuals, leading to a potentially life-threatening reaction. Instead, non-triggering anesthetic agents such as propofol should be considered."	0.31550586	0.30110893	0.3103099	tensor(-0.0293)	tensor(0.2903)	tensor(0.1027)	0.8184746022360900	0.5603748467805060	0.4317797302234160	0.861911	0.5695087	0.5230363	0.84722567	0.5694065	0.37056965	0.82348305	0.49045014	0.40256345	0.81443334	0.5733725	0.541851	1
desflurane	RYR1;CACNA1S	What would be the clinical guidance for someone who is Malignant Hyperthermia Susceptibility for RYR1 and Uncertain Susceptibility for CACNA1S with regards to taking desflurane? Give a 2-3 sentence summary.	"Halogenated volatile anesthetics or the depolarizing muscle relaxant succinylcholine are relatively contraindicated in persons with malignant hyperthermia susceptibility (MHS). They should not be used, except in extraordinary circumstances where the benefits outweigh the risks. In general, alternative anesthetics are widely available and effective in patients with MHS."	"['Proceed taking desflurane as normal. There is no recommendation.', 'Take desflurane with a reduced dose.', 'Take desflurane with an increased dose.']"	Avoid desflurane. Take an alternate therapy.	"Clinical guidance for someone with Malignant Hyperthermia (MH) Susceptibility linked to RYR1 and Uncertain Susceptibility for CACNA1S would typically advise avoiding desflurane. Desflurane is a known trigger for MH, particularly in individuals with RYR1 mutations, and caution is warranted given the uncertain status with CACNA1S. Alternative anesthetic agents that do not trigger MH should be considered for such patients."	0.13634337	0.15181394	0.14655283	tensor(-0.0753)	tensor(0.2547)	tensor(0.0618)	0.710773128068382	0.6064773631037890	0.419364478183047	0.72662336	0.58482677	0.5072	0.77824533	0.5865249	0.3943191	0.75144523	0.530018	0.4080393	0.6601452	0.54498136	0.5519968	1
desflurane	RYR1;CACNA1S	What would be the clinical guidance for someone who is No Result for RYR1 and Uncertain Susceptibility for CACNA1S with regards to taking desflurane? Give a 2-3 sentence summary.	"No RYR1 genotype is available. Based on CACNA1S status, clinical findings, family history, further genetic testing and other laboratory data should guide use of halogenated volatile anesthetics or depolarizing muscle relaxants."	"['Avoid desflurane. Take an alternate therapy.', 'Take desflurane with a reduced dose.', 'Take desflurane with an increased dose.']"	Proceed taking desflurane as normal. There is no recommendation.	"For a patient with ""No Result"" for RYR1 and ""Uncertain Susceptibility"" for CACNA1S, clinical guidance advises caution with the use of desflurane due to the potential risk of malignant hyperthermia (MH). It would be prudent to consider alternative anesthetics and to have a comprehensive plan in place for MH management if desflurane use is deemed necessary. Consulting with a specialist in malignant hyperthermia is recommended for personalized risk assessment."	0.08007375	0.20950522	0.14406268	tensor(-0.0559)	tensor(0.3698)	tensor(0.1247)	0.6527448424317400	0.6193400944577450	0.403769364440083	0.6546387	0.56422	0.37993827	0.609772	0.51800656	0.3032765	0.56108415	0.5734198	0.33309272	0.72046167	0.63060474	0.3783121	0
desipramine	CYP2D6	What would be the clinical guidance for someone who is Ultrarapid Metabolizer and activity score = ≥3.5 for CYP2D6 with regards to taking desipramine? Give a 2-3 sentence summary.	"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments."	"['Proceed taking desipramine as normal. There is no recommendation.', 'Take desipramine with a reduced dose.', 'Take desipramine with an increased dose.']"	Avoid desipramine. Take an alternate therapy.	"For an individual who is an ultrarapid metabolizer with a CYP2D6 activity score of ≥3.5, taking desipramine is generally not recommended. Ultrarapid metabolism could lead to subtherapeutic drug levels, rendering the treatment ineffective and increasing the risk of treatment failure. Alternative medications that are not primarily metabolized by CYP2D6 should be considered."	0.1626624	0.12894806	0.14810333	tensor(-0.0733)	tensor(0.3583)	tensor(0.1045)	0.6196654949947390	0.6417847423142840	0.5463523755692660	0.6642917	0.65570396	0.47636613	0.6305732	0.67375803	0.40268764	0.58962697	0.62984735	0.44125998	0.57940567	0.60047966	0.41513193	1
desipramine	CYP2D6	What would be the clinical guidance for someone who is Normal Metabolizer and activity score = 1.75 for CYP2D6 with regards to taking desipramine? Give a 2-3 sentence summary.	Initiate therapy with recommended starting dose	"['Avoid desipramine. Take an alternate therapy.', 'Take desipramine with a reduced dose.', 'Take desipramine with an increased dose.']"	Proceed taking desipramine as normal. There is no recommendation.	"For an individual who is a Normal Metabolizer with a CYP2D6 activity score of 1.75, standard dosing guidelines for desipramine typically apply. This means they are expected to process the medication efficiently and achieve therapeutic drug levels without an increased risk of adverse effects or therapeutic failure. It's recommended that they start with the usual initial dose, and any dose adjustments should be based on clinical response and tolerability."	-0.15970872	0.21809663	0.0017094025	tensor(-0.0624)	tensor(0.4008)	tensor(0.1171)	0.4970532661585710	0.6720898157020850	0.5051425573422830	0.48871812	0.51341355	0.354074	0.4360023	0.6327842	0.27297944	0.46176422	0.6095732	0.38281348	0.5210106	0.6232236	0.5717378	1
desipramine	CYP2D6	What would be the clinical guidance for someone who is Ultrarapid Metabolizer and activity score = 2.75 for CYP2D6 with regards to taking desipramine? Give a 2-3 sentence summary.	"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments."	"['Proceed taking desipramine as normal. There is no recommendation.', 'Take desipramine with a reduced dose.', 'Take desipramine with an increased dose.']"	Avoid desipramine. Take an alternate therapy.	"For an individual who is an ultrarapid metabolizer (activity score = 2.75) of CYP2D6, clinical guidance typically recommends avoiding the use of desipramine due to the likelihood of significantly reduced efficacy. This is because the ultrarapid metabolism could lead to subtherapeutic drug levels, rendering the treatment ineffective. An alternative medication that is not primarily metabolized by CYP2D6 should be considered."	0.17042919	0.17212625	0.17371838	tensor(-0.0893)	tensor(0.3522)	tensor(0.0752)	0.6430049819584720	0.660162275613026	0.5463523755692660	0.7294562	0.6397458	0.47636613	0.69707376	0.6141588	0.40268764	0.6265449	0.5977543	0.44125998	0.6362227	0.63156885	0.41513193	1
desipramine	CYP2D6	What would be the clinical guidance for someone who is Ultrarapid Metabolizer and activity score = ≥6.0 for CYP2D6 with regards to taking desipramine? Give a 2-3 sentence summary.	"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects. Utilize therapeutic drug monitoring to guide dose adjustments."	"['Proceed taking desipramine as normal. There is no recommendation.', 'Take desipramine with a reduced dose.', 'Take desipramine with an increased dose.']"	Avoid desipramine. Take an alternate therapy.	"For an individual who is an Ultrarapid Metabolizer (UM) with a CYP2D6 activity score of ≥6.0, it is generally recommended to avoid the use of desipramine due to the risk of significantly reduced drug efficacy and potential therapeutic failure. Alternative treatments not metabolized by CYP2D6 should be considered to ensure effective management of the patient's condition."	0.19804867	0.20014939	0.20145746	tensor(-0.0729)	tensor(0.3420)	tensor(0.0905)	0.6125488302893440	0.6282292922733190	0.5463523755692660	0.62953097	0.613242	0.47636613	0.6376015	0.62044233	0.40268764	0.6058988	0.56108516	0.44125998	0.5833699	0.60880053	0.41513193	0
dexlansoprazole	CYP2C19	What would be the clinical guidance for someone who is Rapid Metabolizer for CYP2C19 with regards to taking dexlansoprazole? Give a 2-3 sentence summary.	Initiate standard starting daily dose. Consider increasing dose by 50-100% for the treatment of H. pylori infection and erosive esophagitis. Daily dose may be given in divided doses.Monitor for efficacy.	"['Proceed taking dexlansoprazole as normal. There is no recommendation.', 'Avoid dexlansoprazole. Take an alternate therapy.']"	Take dexlansoprazole with an altered dose.	"For individuals identified as rapid metabolizers of CYP2C19, clinical guidance suggests that they may experience reduced plasma levels of dexlansoprazole, potentially leading to decreased efficacy of the medication. Adjustments to the dosage or consideration of alternative proton pump inhibitors less affected by CYP2C19 metabolism, such as rabeprazole or pantoprazole, might be necessary to ensure optimal therapeutic outcomes. It is advisable for clinicians to monitor and adjust treatment based on the patient's response."	-0.037126713	0.055170156	0.010094204	tensor(-0.0459)	tensor(0.4599)	tensor(0.1621)	0.4354189497894610	0.6812830710265500	0.43456237852129600	0.3990275	0.56995285	0.44420385	0.39168227	0.56503505	0.53292537	0.31971672	0.5789933	0.3973433	0.39122388	0.7188295	0.4159245	0
