"document","cand 0","cand 1","cand 2","cand 3","cand 4","cand 5","None of the above"
"$llm_answer:
Individuals who are deficient in glucose-6-phosphate dehydrogenase (G6PD) and have chronic non-spherocytic hemolytic anemia (CNSHA) should avoid taking ofloxacin. G6PD deficiency increases the risk of hemolytic anemia when exposed to certain medications, including ofloxacin. Clinicians typically recommend alternative antibiotics to prevent hemolytic events in these patients.

$cand_0:
Avoid ofloxacin. Take an alternate therapy.
$cand_1:
Take ofloxacin with a reduced dose.
$cand_2:
Take ofloxacin with an increased dose.
$cand_3:
Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended","1","0","0","0","0","0","0"
"$llm_answer:
For an individual with normal glucose-6-phosphate dehydrogenase (G6PD) levels, ofloxacin can generally be prescribed without special precautions related to G6PD deficiency. There is no increased risk of hemolytic anemia associated with ofloxacin for patients who have normal G6PD enzyme activity. However, as with any medication, the patient should be monitored for any adverse reactions.

$cand_0:
Avoid ofloxacin. Take an alternate therapy.
$cand_1:
Take ofloxacin with a reduced dose.
$cand_2:
Take ofloxacin with an increased dose.
$cand_3:
No reason to avoid based on G6PD status","0","0","0","1","0","0","0"
"$llm_answer:
For individuals identified as likely poor metabolizers of CYP2C19, the clinical guidance for taking omeprazole often includes maintaining the standard dose. Poor metabolizers have higher plasma concentrations of omeprazole, enhancing the drug's efficacy. Therefore, dose adjustments are generally not necessary and can result in improved therapeutic outcomes, such as increased gastric acid suppression.

$cand_0:
Proceed taking omeprazole as normal. There is no recommendation.
$cand_1:
Avoid omeprazole. Take an alternate therapy.
$cand_2:
Initiate standard starting daily dose. For chronic therapy (>12 weeks) and efficacy achieved, consider 50% reduction in daily dose and monitor for continued efficacy.","1","0","0","0","0","0","0"
"$llm_answer:
For a patient who is a normal metabolizer with an activity score of 1.75 for CYP2D6, standard dosing of ondansetron is generally appropriate. CYP2D6 normal metabolizers typically do not require alterations in drug dosing, as they metabolize the drug at a rate that leads to the expected therapeutic effects and minimal risk of adverse reactions. It is always recommended to monitor the patient for efficacy and tolerability.

$cand_0:
Avoid ondansetron. Take an alternate therapy.
$cand_1:
Take ondansetron with a reduced dose.
$cand_2:
Take ondansetron with an increased dose.
$cand_3:
Initiate therapy with recommended starting dose.","0","0","0","1","0","0","0"
"$llm_answer:
For individuals who are HLA-B*15:02 positive, using oxcarbazepine is contraindicated due to a significantly increased risk of developing severe cutaneous adverse reactions (SCARs), such as Stevens-Johnson syndrome (SJS) and toxic epidermal necrolysis (TEN). Clinical guidelines recommend avoiding oxcarbazepine in these patients and considering alternative medications that do not carry the same genetic risk.

$cand_0:
Avoid oxcarbazepine. Take an alternate therapy.
$cand_1:
Take oxcarbazepine with a reduced dose.
$cand_2:
Take oxcarbazepine with an increased dose.
$cand_3:
The latency period for drug-induced SJS/TEN is short with continuous dosing and adherence to therapy (~4-28 days), and cases usually occur within three months of dosing; therefore, if the patient has previously used oxcarbazepine consistently for longer than three months without incidence of cutaneous adverse reactions, cautiously consider use of oxcarbazepine in the future.","1","0","0","0","0","0","0"
"$llm_answer:
For individuals who are HLA-B*15:02 negative, the risk of developing serious adverse reactions such as Stevens-Johnson syndrome (SJS) or toxic epidermal necrolysis (TEN) when taking oxcarbazepine is significantly lower compared to those who are positive for this allele. Therefore, oxcarbazepine can be considered a suitable treatment option for them without additional specific genetic contraindications related to HLA-B*15:02. However, standard clinical monitoring for other potential side effects of oxcarbazepine should still be observed.

$cand_0:
Avoid oxcarbazepine. Take an alternate therapy.
$cand_1:
Take oxcarbazepine with a reduced dose.
$cand_2:
Take oxcarbazepine with an increased dose.
$cand_3:
Use oxcarbazepine per standard dosing guidelines.","0","0","0","1","0","0","0"
"$llm_answer:
For individuals who are deficient in glucose-6-phosphate dehydrogenase (G6PD), the use of pegloticase is contraindicated due to the significant risk of hemolysis and methemoglobinemia. Clinical guidance would advise against prescribing pegloticase to G6PD-deficient patients and recommend alternative treatments for conditions such as chronic gout.

$cand_0:
Proceed taking pegloticase as normal. There is no recommendation.
$cand_1:
Take pegloticase with a reduced dose.
$cand_2:
Take pegloticase with an increased dose.
$cand_3:
Avoid use","0","0","0","1","0","0","0"
"$llm_answer:
If an individual's HLA-B genotype result is not available, clinical guidance generally suggests proceeding with caution when prescribing phenytoin due to the risk of severe adverse reactions, such as Stevens-Johnson syndrome (SJS) and toxic epidermal necrolysis (TEN), particularly in populations with higher prevalence of the HLA-B*15:02 allele, like those of Asian ancestry. Close monitoring, an alternative medication, or genotyping might be recommended to mitigate risk.

$cand_0:
Proceed taking phenytoin as normal. There is no recommendation.
$cand_1:
Avoid phenytoin. Take an alternate therapy.
$cand_2:
For first dose, use typical initial or loading dose. For subsequent doses use approximately 50% less than typical maintenance dose. Subsequent doses should be adjusted according to therapeutic drug monitoring, response, and side effects. An HLA-B*15:02 negative test does not eliminate the risk of phenytoin-induced SJS/TEN, and patients should be carefully monitored according to a usual standard.","1","0","0","0","0","0","0"
"$llm_answer:
For a patient identified as an intermediate metabolizer with a CYP2C9 activity score of 1.0, clinical guidance suggests considering alternative NSAIDs to piroxicam when possible. This is because intermediate metabolizers may have an increased risk of adverse effects due to slower metabolism of piroxicam, potentially leading to higher plasma levels of the drug. If piroxicam is used, close monitoring and potentially lower dosages should be considered to reduce the risk of toxicity.

$cand_0:
Proceed taking piroxicam as normal. There is no recommendation.
$cand_1:
Take piroxicam with a reduced dose.
$cand_2:
Take piroxicam with an increased dose.
$cand_3:
Choose an alternative therapy not metabolized by CYP2C9 or not significantly impacted by CYP2C9 genetic variants in vivo or choose an NSAID metabolized by CYP2C9 but with a shorter half-life (see CPIC THERAPEUTIC RECOMMENDATIONS FOR CELECOXIB, FLURBIPROFEN, LORNOXICAM, AND IBUPROFEN BASED ON CYP2C9 PHENOTYPE).","0","0","0","1","0","0","0"
"$llm_answer:
Individuals with an increased function variant of the SLCO1B1 gene generally have enhanced hepatic uptake of statins, including pitavastatin. This genetic profile may lead to higher efficacy of pitavastatin at standard doses without an increased risk of side effects such as myopathy. However, ongoing monitoring for efficacy and side effects is still recommended, as individual responses can vary.

$cand_0:
Avoid pitavastatin. Take an alternate therapy.
$cand_1:
Take pitavastatin with a reduced dose.
$cand_2:
Take pitavastatin with an increased dose.
$cand_3:
Prescribe desired starting dose and adjust doses based on disease-specific guidelines.","0","0","0","1","0","0","0"
"$llm_answer:
For patients with an indeterminate G6PD status, it is crucial to perform a confirmatory G6PD diagnostic test prior to initiating primaquine therapy, as G6PD deficiency can lead to hemolytic anemia when exposed to primaquine. If G6PD testing is not immediately available, alternative prophylactic or therapeutic options should be considered until a definitive G6PD status is determined to avoid potential adverse effects.

$cand_0:
Avoid primaquine. Take an alternate therapy.
$cand_1:
Take primaquine with a reduced dose.
$cand_2:
Take primaquine with an increased dose.
$cand_3:
To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.","0","0","0","1","0","0","0"
"$llm_answer:
For individuals with glucose-6-phosphate dehydrogenase (G6PD) deficiency, particularly those with chronic nonspherocytic hemolytic anemia (CNSHA), it is generally recommended to avoid the use of primaquine due to the high risk of hemolysis. If primaquine is essential, it should be administered under strict medical supervision with close monitoring of hemoglobin levels and other signs of hemolytic anemia.

$cand_0:
Proceed taking primaquine as normal. There is no recommendation.
$cand_1:
Take primaquine with a reduced dose.
$cand_2:
Take primaquine with an increased dose.
$cand_3:
Avoid primaquine","0","0","0","1","0","0","0"
"$llm_answer:
For an individual who has a normal glucose-6-phosphate dehydrogenase (G6PD) enzyme level, primaquine can generally be prescribed without increased risk of hemolysis. Clinicians should still monitor the patient for any potential side effects, but the absence of G6PD deficiency indicates a lower risk of experiencing the severe hemolytic anemia that can be triggered by the drug in deficient individuals.

$cand_0:
Avoid primaquine. Take an alternate therapy.
$cand_1:
Take primaquine with a reduced dose.
$cand_2:
Take primaquine with an increased dose.
$cand_3:
No reason to avoid based on G6PD status","0","0","0","1","0","0","0"
"$llm_answer:
For individuals with a normal G6PD enzyme level, there are generally no increased risks of hemolytic anemia when taking quinine, a drug that can cause oxidative stress in those with G6PD deficiency. Thus, these individuals can use quinine for appropriate indications, such as the treatment of malaria or nocturnal leg cramps, according to standard clinical guidelines. Always consider consulting with a healthcare provider for personalized advice and to ensure there are no other contraindications or drug interactions.

$cand_0:
Avoid quinine. Take an alternate therapy.
$cand_1:
Take quinine with a reduced dose.
$cand_2:
Take quinine with an increased dose.
$cand_3:
No reason to avoid based on G6PD status","0","0","0","1","0","0","0"
"$llm_answer:
For an individual with normal function of the ABCG2 gene and decreased function of the SLCO1B1 gene, starting rosuvastatin at a lower dose may be advisable to mitigate the risk of increased drug exposure and potential muscle toxicity associated with reduced SLCO1B1 function. Monitoring for any adverse effects and adjusting the dose based on clinical response and tolerance is recommended.

$cand_0:
Avoid rosuvastatin. Take an alternate therapy.
$cand_1:
Take rosuvastatin with a reduced dose.
$cand_2:
Take rosuvastatin with an increased dose.
$cand_3:
Prescribe desired starting dose and adjust doses of rosuvastatin based on disease-specific and specific population guidelines. Prescriber should be aware of possible increased risk for myopathy especially for doses >20mg.","0","1","0","0","0","0","0"
"$llm_answer:
For individuals who are classified as indeterminate for G6PD (glucose-6-phosphate dehydrogenase) deficiency, caution is advised when prescribing sulfadiazine. It is important to monitor for signs of hemolysis, especially after initiation of the drug, and consider alternative treatments if possible. Consultation with a healthcare provider specializing in pharmacogenomics or hematology may also be warranted to ensure safe management.

$cand_0:
Avoid sulfadiazine. Take an alternate therapy.
$cand_1:
Take sulfadiazine with a reduced dose.
$cand_2:
Take sulfadiazine with an increased dose.
$cand_3:
To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.","0","0","0","0","0","0","1"
"$llm_answer:
For a patient with an indeterminate G6PD status, sulfasalazine should be used with caution. Given the risk of hemolytic anemia in G6PD-deficient individuals, it is advisable to monitor for signs of hemolysis and consider alternative treatments if there is any indication of hemolysis or if G6PD deficiency is confirmed through further testing.

$cand_0:
Avoid sulfasalazine. Take an alternate therapy.
$cand_1:
Take sulfasalazine with a reduced dose.
$cand_2:
Take sulfasalazine with an increased dose.
$cand_3:
To ascertain G6PD status, enzyme activity must be measured. Drug use should be guided per the recommendations based on the activity-based phenotype.","0","0","0","0","0","0","1"
"$llm_answer:
For individuals who have normal glucose-6-phosphate dehydrogenase (G6PD) activity, tafenoquine can be prescribed for the prevention and treatment of malaria. It is crucial to confirm normal G6PD activity through diagnostic testing before starting tafenoquine, as the drug can cause hemolytic anemia in patients with G6PD deficiency. Always follow specific dosage recommendations and monitor for side effects as advised by healthcare providers.

$cand_0:
Avoid tafenoquine. Take an alternate therapy.
$cand_1:
Take tafenoquine with a reduced dose.
$cand_2:
Take tafenoquine with an increased dose.
$cand_3:
No reason to avoid based on G6PD status","0","0","0","1","0","0","0"
"$llm_answer:
For a patient who is a Normal Metabolizer for TPMT but a Poor Metabolizer for NUDT15, the dosing of thioguanine should be approached with caution. Specifically, a significant dose reduction is recommended starting with a reduced dose by 30-80%, and close monitoring of the patient for hematologic toxicity is essential. This guidance aims to reduce the risk of severe myelosuppression, which patients with NUDT15 poor metabolizer status are particularly susceptible to.

$cand_0:
Proceed taking thioguanine as normal. There is no recommendation.
$cand_1:
Avoid thioguanine. Take an alternate therapy.
$cand_2:
Reduce starting doses to 25% of normal dose and adjust doses of thioguanine based on degree of myelosuppression and disease-specific guidelines. Allow 4-6 weeks to reach steady-state after each dose adjustment. In setting of myelosuppression, emphasis should be on reducing thioguanine over other agents. For non-malignant conditions, consider alternative non-thiopurine immunosuppressant therapy (PMID 20354201).","0","0","2","0","0","0","0"
"$llm_answer:
For individuals deficient in glucose-6-phosphate dehydrogenase (G6PD), it is generally recommended to avoid the use of tolbutamide due to the increased risk of hemolytic anemia. Alternative medications that do not pose this risk should be considered. Always consult with a healthcare provider for tailored medical advice.

$cand_0:
Avoid tolbutamide. Take an alternate therapy.
$cand_1:
Take tolbutamide with a reduced dose.
$cand_2:
Take tolbutamide with an increased dose.
$cand_3:
No reason to avoid based on G6PD status at standard doses","1","0","0","0","0","0","0"
"$llm_answer:
For individuals with glucose-6-phosphate dehydrogenase (G6PD) deficiency, especially those with chronic nonspherocytic hemolytic anemia (CNSHA), the use of toluidine blue is contraindicated. This dye, used diagnostically and therapeutically, can induce hemolysis in G6PD-deficient patients, leading to severe anemia and other related complications. Clinical guidance would strongly recommend avoiding toluidine blue and considering alternative diagnostic or therapeutic options.

$cand_0:
Proceed taking toluidine blue as normal. There is no recommendation.
$cand_1:
Take toluidine blue with a reduced dose.
$cand_2:
Take toluidine blue with an increased dose.
$cand_3:
Avoid use","0","0","0","1","0","0","0"
"$llm_answer:
For an individual who is a normal metabolizer with a CYP2D6 activity score of 2.25, tramadol can typically be prescribed at standard dosing. This is because normal metabolizers efficiently convert tramadol into its active metabolite, which helps achieve adequate pain relief without an increased risk of adverse effects. Regular monitoring and follow-up are still recommended to ensure optimal therapeutic outcomes and to manage any potential side effects.

$cand_0:
Avoid tramadol. Take an alternate therapy.
$cand_1:
Take tramadol with a reduced dose.
$cand_2:
Take tramadol with an increased dose.
$cand_3:
Use tramadol label recommended age- or weight-specific dosing.","0","0","0","2","0","0","0"
"$llm_answer:
For an individual who is an ultrarapid metabolizer (UM) with an activity score of 2.75 for CYP2D6, it is generally recommended to avoid using tramadol. This is because ultrarapid metabolizers convert tramadol to its active metabolite, O-desmethyltramadol (M1), more quickly and extensively, which can lead to an increased risk of serious side effects such as respiratory depression and potentially fatal overdose. Alternative analgesics that do not rely on CYP2D6 metabolism should be considered.

$cand_0:
Proceed taking tramadol as normal. There is no recommendation.
$cand_1:
Take tramadol with a reduced dose.
$cand_2:
Take tramadol with an increased dose.
$cand_3:
Avoid tramadol use because of potential for toxicity. If opioid use is warranted, consider a non-codeine opioid.","0","0","0","1","0","0","0"
"$llm_answer:
For an individual with ""No Result"" and an activity score of ""No Result"" for CYP2D6 and identified as a Rapid Metabolizer for CYP2C19, there is insufficient genetic information to provide specific clinical guidance regarding trimipramine use. Generally, trimipramine's metabolism is significantly influenced by CYP2D6 activity, so obtaining accurate CYP2D6 genotyping results or considering alternative medications less dependent on CYP2D6 metabolism may be prudent. It is advisable to consult a healthcare professional to evaluate other factors and decide on the best course of action.

$cand_0:
Proceed taking trimipramine as normal. There is no recommendation.
$cand_1:
Take trimipramine with a reduced dose.
$cand_2:
Take trimipramine with an increased dose.
$cand_3:
Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments.","0","0","0","0","0","0","1"
"$llm_answer:
For a patient who is a normal metabolizer (activity score = 1.5) of CYP2D6 with no result for CYP2C19, standard dosing of trimipramine is generally appropriate. CYP2D6 plays a significant role in the metabolism of trimipramine, and an activity score of 1.5 indicates that the patient metabolizes trimipramine at a normal rate. However, the lack of CYP2C19 results suggests that potential interactions or genetic variants affecting this pathway cannot be ruled out, so monitoring for efficacy and side effects is still essential.

$cand_0:
Avoid trimipramine. Take an alternate therapy.
$cand_1:
Take trimipramine with a reduced dose.
$cand_2:
Take trimipramine with an increased dose.
$cand_3:
Initiate therapy with recommended starting dose.","0","0","0","1","0","0","0"
"$llm_answer:
For an individual identified as a Normal Metabolizer with an activity score of 1.75 for CYP2D6, the clinical guidance for taking tropisetron typically indicates that standard dosing can be used. Normal Metabolizers usually exhibit expected drug metabolism, leading to typical drug efficacy and toxicity profiles. Therefore, this patient is likely to respond well to the usual therapeutic doses of tropisetron without the need for dose adjustments.    Reference:  - Caudle, K. E., Sangkuhl, K., Whirl-Carrillo, M., Swen, J. J., Haidar, C. E., Klein, T. E., & Gammal, R. S. El (2020). Standardizing CYP2D6 genotype to phenotype translation: Consensus recommendations from the Clinical Pharmacogenetics Implementation Consortium and Dutch Pharmacogenetics Working Group. Clinical and Translational Science, 13(1), 116-124.

$cand_0:
Avoid tropisetron. Take an alternate therapy.
$cand_1:
Take tropisetron with a reduced dose.
$cand_2:
Take tropisetron with an increased dose.
$cand_3:
Initiate therapy with recommended starting dose.","0","0","0","1","0","0","0"
"$llm_answer:
Individuals who are deficient in G6PD (Glucose-6-Phosphate Dehydrogenase) should use caution when taking high doses of vitamin C, as it can potentially trigger hemolytic anemia in some cases. While typical dietary amounts of vitamin C are generally considered safe, it's essential for those with G6PD deficiency to consult with their healthcare provider before using supplements or high-dose vitamin C.

$cand_0:
Avoid vitamin c. Take an alternate therapy.
$cand_1:
Take vitamin c with a reduced dose.
$cand_2:
Take vitamin c with an increased dose.
$cand_3:
No reason to avoid based on G6PD status at standard doses","0","0","0","0","0","0","1"
"$llm_answer:
For individuals with glucose-6-phosphate dehydrogenase (G6PD) deficiency and chronic non-spherocytic hemolytic anemia (CNSHA), there is no specific contraindication for the use of vitamin K. However, it is important to monitor these patients closely for any signs of hemolysis or other adverse reactions when administering vitamin K, due to their underlying condition that affects red blood cell stability. Clinical decisions should always be personalized and carried out in consultation with a healthcare provider knowledgeable about the patient's medical history and specific needs.

$cand_0:
Avoid vitamin k. Take an alternate therapy.
$cand_1:
Take vitamin k with a reduced dose.
$cand_2:
Take vitamin k with an increased dose.
$cand_3:
Use drug cautiously; if used, close monitoring for acute exacerbation of chronic hemolysis is recommended","0","0","0","1","0","0","0"
"$llm_answer:
For a patient with an indeterminate CYP2C19 genotype taking voriconazole, clinical guidelines recommend careful monitoring of voriconazole plasma levels due to the uncertainty in how they will metabolize the drug. Adjustments to dosing may be necessary based on therapeutic drug monitoring to achieve the desired antifungal effect while minimizing potential toxicity.

$cand_0:
Avoid voriconazole. Take an alternate therapy.
$cand_1:
Take voriconazole with a reduced dose.
$cand_2:
Take voriconazole with an increased dose.
$cand_3:
No recommendation","0","0","0","0","0","0","1"
"$llm_answer:
For someone identified as an Ultrarapid Metabolizer (UM) of CYP2C19, clinical guidelines generally recommend avoiding the use of voriconazole due to significantly decreased plasma concentrations that would likely lead to subtherapeutic levels and reduced efficacy. Alternative antifungal agents that do not rely on CYP2C19 for metabolism should be considered.

$cand_0:
Proceed taking voriconazole as normal. There is no recommendation.
$cand_1:
Take voriconazole with a reduced dose.
$cand_2:
Take voriconazole with an increased dose.
$cand_3:
Choose an alternative agent that is not dependent on CYP2C19 metabolism as primary therapy in lieu of voriconazole. Such agents include liposomal amphotericin B and posaconazole.","0","0","0","1","0","0","0"
"$llm_answer:
For an intermediate metabolizer (CYP2C19*1/*2, *1/*3) taking voriconazole, clinical guidelines suggest considering an alternative antifungal agent due to potential for suboptimal efficacy and increased risk of adverse effects. If voriconazole use is necessary, therapeutic drug monitoring is recommended to ensure appropriate plasma concentrations and adjust dosing as needed.

$cand_0:
Avoid voriconazole. Take an alternate therapy.
$cand_1:
Take voriconazole with a reduced dose.
$cand_2:
Take voriconazole with an increased dose.
$cand_3:
Initiate therapy with recommended standard of care dosing","1","0","0","0","0","0","0"
"$llm_answer:
For an individual who is an ultrarapid metabolizer with a CYP2D6 activity score of ≥3.0, the clinical guidance would be to initiate vortioxetine therapy with the standard recommended dose. However, due to the increased metabolism, these patients may have lower plasma concentrations of the drug, potentially reducing efficacy. Therefore, close monitoring for therapeutic response and side effects is advised, with dose adjustments as needed to achieve optimal clinical outcomes.

$cand_0:
Proceed taking vortioxetine as normal. There is no recommendation.
$cand_1:
Take vortioxetine with a reduced dose.
$cand_2:
Take vortioxetine with an increased dose.
$cand_3:
Select alternative drug not predominantly metabolized by CYP2D6. If vortioxetine use is warranted, initiate therapy at standard starting dose and titrate to maintenance dose based on efficacy and side effects. Increasing the target maintenance dose by 50% or more may be needed for efficacy.","1","0","0","0","0","0","0"
"$llm_answer:
For individuals who are Intermediate Metabolizers (activity score = 1.0) of CYP2D6, clinical guidance suggests that standard dosing of vortioxetine can typically be maintained. However, these patients may experience higher plasma concentrations of the drug, so careful monitoring for potential side effects is recommended. Adjustments may be needed based on clinical response and tolerability.

$cand_0:
Avoid vortioxetine. Take an alternate therapy.
$cand_1:
Take vortioxetine with a reduced dose.
$cand_2:
Take vortioxetine with an increased dose.
$cand_3:
Initiate therapy with recommended starting dose.","0","0","0","1","0","0","0"
